ano,uf,tema,item,quantidade_escola
2021,MG,Roubo ou furto,Nunca,4673
2021,DF,Roubo ou furto,Nunca,400
2021,TO,Roubo ou furto,Nunca,681
2021,CE,Roubo ou furto,Nunca,2952
2021,MT,Roubo ou furto,Nunca,939
2021,AM,Roubo ou furto,Nunca,887
2021,MA,Roubo ou furto,Nunca,3141
2021,AP,Roubo ou furto,Nunca,214
2021,PR,Roubo ou furto,Nunca,3086
2021,RS,Roubo ou furto,Nunca,2970
2021,RJ,Roubo ou furto,Nunca,3086
2021,RN,Roubo ou furto,Nunca,1138
2021,AC,Roubo ou furto,Nunca,270
2021,SC,Roubo ou furto,Nunca,1749
2021,ES,Roubo ou furto,Nunca,956
2021,SP,Roubo ou furto,Nunca,6857
2021,GO,Roubo ou furto,Nunca,1724
2021,RO,Roubo ou furto,Nunca,471
2021,AL,Roubo ou furto,Nunca,1128
2021,BA,Roubo ou furto,Nunca,4770
2021,MS,Roubo ou furto,Nunca,606
2021,PE,Roubo ou furto,Nunca,2406
2021,PA,Roubo ou furto,Nunca,2618
2021,PI,Roubo ou furto,Nunca,1512
2021,PB,Roubo ou furto,Nunca,1577
2021,RR,Roubo ou furto,Nunca,184
2021,SE,Roubo ou furto,Nunca,822
2021,MS,Roubo ou furto,Poucas vezes,168
2021,SP,Roubo ou furto,Poucas vezes,2316
2021,AL,Roubo ou furto,Poucas vezes,111
2021,MT,Roubo ou furto,Poucas vezes,169
2021,AP,Roubo ou furto,Poucas vezes,99
2021,TO,Roubo ou furto,Poucas vezes,63
2021,PR,Roubo ou furto,Poucas vezes,776
2021,RJ,Roubo ou furto,Poucas vezes,593
2021,SC,Roubo ou furto,Poucas vezes,420
2021,MA,Roubo ou furto,Poucas vezes,340
2021,DF,Roubo ou furto,Poucas vezes,137
2021,AM,Roubo ou furto,Poucas vezes,322
2021,PI,Roubo ou furto,Poucas vezes,287
2021,PB,Roubo ou furto,Poucas vezes,179
2021,BA,Roubo ou furto,Poucas vezes,581
2021,PA,Roubo ou furto,Poucas vezes,522
2021,MG,Roubo ou furto,Poucas vezes,1062
2021,AC,Roubo ou furto,Poucas vezes,82
2021,PE,Roubo ou furto,Poucas vezes,452
2021,RS,Roubo ou furto,Poucas vezes,575
2021,CE,Roubo ou furto,Poucas vezes,379
2021,GO,Roubo ou furto,Poucas vezes,328
2021,SE,Roubo ou furto,Poucas vezes,115
2021,RN,Roubo ou furto,Poucas vezes,176
2021,RO,Roubo ou furto,Poucas vezes,136
2021,ES,Roubo ou furto,Poucas vezes,188
2021,RR,Roubo ou furto,Poucas vezes,25
2021,AM,Roubo ou furto,Sem resposta,514
2021,PA,Roubo ou furto,Sem resposta,968
2021,RR,Roubo ou furto,Sem resposta,97
2021,SE,Roubo ou furto,Sem resposta,171
2021,PR,Roubo ou furto,Sem resposta,495
2021,MS,Roubo ou furto,Sem resposta,141
2021,PB,Roubo ou furto,Sem resposta,329
2021,SP,Roubo ou furto,Sem resposta,951
2021,ES,Roubo ou furto,Sem resposta,226
2021,GO,Roubo ou furto,Sem resposta,304
2021,MG,Roubo ou furto,Sem resposta,813
2021,RJ,Roubo ou furto,Sem resposta,555
2021,RN,Roubo ou furto,Sem resposta,293
2021,TO,Roubo ou furto,Sem resposta,105
2021,AL,Roubo ou furto,Sem resposta,244
2021,MA,Roubo ou furto,Sem resposta,716
2021,AP,Roubo ou furto,Sem resposta,100
2021,DF,Roubo ou furto,Sem resposta,139
2021,MT,Roubo ou furto,Sem resposta,195
2021,AC,Roubo ou furto,Sem resposta,87
2021,RS,Roubo ou furto,Sem resposta,598
2021,CE,Roubo ou furto,Sem resposta,460
2021,RO,Roubo ou furto,Sem resposta,83
2021,BA,Roubo ou furto,Sem resposta,1101
2021,SC,Roubo ou furto,Sem resposta,230
2021,PI,Roubo ou furto,Sem resposta,352
2021,PE,Roubo ou furto,Sem resposta,464
2021,PI,Roubo ou furto,Várias vezes,69
2021,SP,Roubo ou furto,Várias vezes,275
2021,MG,Roubo ou furto,Várias vezes,138
2021,PA,Roubo ou furto,Várias vezes,67
2021,MA,Roubo ou furto,Várias vezes,44
2021,BA,Roubo ou furto,Várias vezes,48
2021,MT,Roubo ou furto,Várias vezes,11
2021,PB,Roubo ou furto,Várias vezes,34
2021,GO,Roubo ou furto,Várias vezes,50
2021,AP,Roubo ou furto,Várias vezes,16
2021,PE,Roubo ou furto,Várias vezes,71
2021,SE,Roubo ou furto,Várias vezes,7
2021,AM,Roubo ou furto,Várias vezes,61
2021,ES,Roubo ou furto,Várias vezes,10
2021,RR,Roubo ou furto,Várias vezes,3
2021,AC,Roubo ou furto,Várias vezes,24
2021,DF,Roubo ou furto,Várias vezes,12
2021,TO,Roubo ou furto,Várias vezes,1
2021,AL,Roubo ou furto,Várias vezes,12
2021,RO,Roubo ou furto,Várias vezes,29
2021,RJ,Roubo ou furto,Várias vezes,97
2021,MS,Roubo ou furto,Várias vezes,27
2021,SC,Roubo ou furto,Várias vezes,36
2021,RN,Roubo ou furto,Várias vezes,32
2021,PR,Roubo ou furto,Várias vezes,102
2021,CE,Roubo ou furto,Várias vezes,25
2021,RS,Roubo ou furto,Várias vezes,89
2021,RR,Assédio sexual,Nunca,210
2021,AL,Assédio sexual,Nunca,1227
2021,BA,Assédio sexual,Nunca,5298
2021,PB,Assédio sexual,Nunca,1763
2021,SC,Assédio sexual,Nunca,2085
2021,DF,Assédio sexual,Nunca,512
2021,PR,Assédio sexual,Nunca,3812
2021,AC,Assédio sexual,Nunca,372
2021,CE,Assédio sexual,Nunca,3301
2021,MA,Assédio sexual,Nunca,3453
2021,MS,Assédio sexual,Nunca,776
2021,RN,Assédio sexual,Nunca,1312
2021,MT,Assédio sexual,Nunca,1069
2021,AP,Assédio sexual,Nunca,321
2021,PA,Assédio sexual,Nunca,3110
2021,MG,Assédio sexual,Nunca,5757
2021,AM,Assédio sexual,Nunca,1221
2021,ES,Assédio sexual,Nunca,1095
2021,RO,Assédio sexual,Nunca,616
2021,PI,Assédio sexual,Nunca,1846
2021,TO,Assédio sexual,Nunca,732
2021,PE,Assédio sexual,Nunca,2854
2021,SP,Assédio sexual,Nunca,9085
2021,SE,Assédio sexual,Nunca,923
2021,GO,Assédio sexual,Nunca,2017
2021,RJ,Assédio sexual,Nunca,3693
2021,RS,Assédio sexual,Nunca,3520
2021,RJ,Assédio sexual,Poucas vezes,77
2021,PR,Assédio sexual,Poucas vezes,153
2021,AC,Assédio sexual,Poucas vezes,5
2021,BA,Assédio sexual,Poucas vezes,97
2021,RS,Assédio sexual,Poucas vezes,106
2021,MS,Assédio sexual,Poucas vezes,27
2021,AM,Assédio sexual,Poucas vezes,54
2021,PI,Assédio sexual,Poucas vezes,16
2021,PA,Assédio sexual,Poucas vezes,85
2021,TO,Assédio sexual,Poucas vezes,11
2021,MT,Assédio sexual,Poucas vezes,50
2021,AL,Assédio sexual,Poucas vezes,23
2021,MA,Assédio sexual,Poucas vezes,66
2021,PB,Assédio sexual,Poucas vezes,20
2021,SC,Assédio sexual,Poucas vezes,116
2021,MG,Assédio sexual,Poucas vezes,110
2021,CE,Assédio sexual,Poucas vezes,53
2021,RO,Assédio sexual,Poucas vezes,20
2021,ES,Assédio sexual,Poucas vezes,56
2021,SP,Assédio sexual,Poucas vezes,354
2021,DF,Assédio sexual,Poucas vezes,36
2021,PE,Assédio sexual,Poucas vezes,68
2021,GO,Assédio sexual,Poucas vezes,80
2021,RN,Assédio sexual,Poucas vezes,32
2021,SE,Assédio sexual,Poucas vezes,21
2021,RR,Assédio sexual,Poucas vezes,2
2021,AP,Assédio sexual,Poucas vezes,8
2021,AP,Assédio sexual,Sem resposta,100
2021,RO,Assédio sexual,Sem resposta,83
2021,PI,Assédio sexual,Sem resposta,358
2021,AC,Assédio sexual,Sem resposta,86
2021,CE,Assédio sexual,Sem resposta,462
2021,RS,Assédio sexual,Sem resposta,604
2021,BA,Assédio sexual,Sem resposta,1101
2021,MS,Assédio sexual,Sem resposta,139
2021,RN,Assédio sexual,Sem resposta,295
2021,GO,Assédio sexual,Sem resposta,309
2021,RR,Assédio sexual,Sem resposta,97
2021,SP,Assédio sexual,Sem resposta,955
2021,ES,Assédio sexual,Sem resposta,229
2021,PB,Assédio sexual,Sem resposta,335
2021,TO,Assédio sexual,Sem resposta,107
2021,AM,Assédio sexual,Sem resposta,508
2021,SE,Assédio sexual,Sem resposta,171
2021,MT,Assédio sexual,Sem resposta,195
2021,MA,Assédio sexual,Sem resposta,721
2021,AL,Assédio sexual,Sem resposta,245
2021,MG,Assédio sexual,Sem resposta,818
2021,RJ,Assédio sexual,Sem resposta,560
2021,SC,Assédio sexual,Sem resposta,233
2021,PA,Assédio sexual,Sem resposta,977
2021,PR,Assédio sexual,Sem resposta,493
2021,PE,Assédio sexual,Sem resposta,469
2021,DF,Assédio sexual,Sem resposta,140
2021,RO,Assédio sexual,Várias vezes,
2021,MG,Assédio sexual,Várias vezes,1
2021,SP,Assédio sexual,Várias vezes,5
2021,PB,Assédio sexual,Várias vezes,1
2021,PE,Assédio sexual,Várias vezes,2
2021,MT,Assédio sexual,Várias vezes,
2021,MA,Assédio sexual,Várias vezes,1
2021,ES,Assédio sexual,Várias vezes,
2021,AM,Assédio sexual,Várias vezes,1
2021,AC,Assédio sexual,Várias vezes,
2021,RJ,Assédio sexual,Várias vezes,1
2021,RS,Assédio sexual,Várias vezes,2
2021,MS,Assédio sexual,Várias vezes,
2021,RN,Assédio sexual,Várias vezes,
2021,AL,Assédio sexual,Várias vezes,
2021,RR,Assédio sexual,Várias vezes,
2021,PR,Assédio sexual,Várias vezes,1
2021,SE,Assédio sexual,Várias vezes,
2021,CE,Assédio sexual,Várias vezes,
2021,DF,Assédio sexual,Várias vezes,
2021,AP,Assédio sexual,Várias vezes,
2021,BA,Assédio sexual,Várias vezes,4
2021,PA,Assédio sexual,Várias vezes,3
2021,TO,Assédio sexual,Várias vezes,
2021,GO,Assédio sexual,Várias vezes,
2021,SC,Assédio sexual,Várias vezes,1
2021,PI,Assédio sexual,Várias vezes,
2021,AM,Discriminação,Nunca,1064
2021,PI,Discriminação,Nunca,1649
2021,SE,Discriminação,Nunca,761
2021,PE,Discriminação,Nunca,2374
2021,RN,Discriminação,Nunca,1136
2021,SP,Discriminação,Nunca,7353
2021,PB,Discriminação,Nunca,1636
2021,SC,Discriminação,Nunca,1617
2021,DF,Discriminação,Nunca,374
2021,MG,Discriminação,Nunca,4946
